Updated At, updated On, Light Intencity
5/24/2025, 3:37:22 PM,0.00
5/24/2025, 3:37:27 PM,0.00
5/24/2025, 3:37:32 PM,0.00
5/24/2025, 3:37:37 PM,0.00
5/24/2025, 3:37:43 PM,0.00
5/24/2025, 3:37:48 PM,0.00
5/24/2025, 3:37:53 PM,0.00
5/24/2025, 3:37:58 PM,0.00
5/24/2025, 3:38:03 PM,0.00
5/24/2025, 3:38:08 PM,0.00
5/24/2025, 3:38:13 PM,0.00
5/24/2025, 3:38:18 PM,0.00
5/24/2025, 3:38:24 PM,0.00
5/24/2025, 3:38:29 PM,0.00
5/24/2025, 3:38:34 PM,0.00
5/24/2025, 3:38:39 PM,0.00
5/24/2025, 3:38:44 PM,0.00
5/24/2025, 3:38:49 PM,0.00
5/24/2025, 3:38:54 PM,0.00
5/24/2025, 3:39:00 PM,0.00
5/24/2025, 3:39:05 PM,0.00
5/24/2025, 3:39:10 PM,0.00
5/24/2025, 3:39:15 PM,0.00
5/24/2025, 3:39:20 PM,0.00
5/24/2025, 3:39:25 PM,0.00
5/24/2025, 3:39:30 PM,0.00
5/24/2025, 3:39:36 PM,0.00
5/24/2025, 3:39:41 PM,0.00
5/24/2025, 3:39:46 PM,0.00
5/24/2025, 3:39:51 PM,0.00
5/24/2025, 3:39:56 PM,0.00
5/24/2025, 3:40:01 PM,0.00
5/24/2025, 3:40:06 PM,0.00
5/24/2025, 3:40:11 PM,0.00
5/24/2025, 3:40:17 PM,0.00
5/24/2025, 3:40:22 PM,0.00
5/24/2025, 3:40:27 PM,0.00
5/24/2025, 3:40:32 PM,0.00
5/24/2025, 3:40:37 PM,0.00
5/24/2025, 3:40:42 PM,0.00
5/24/2025, 3:40:47 PM,0.00
5/24/2025, 3:40:53 PM,0.00
5/24/2025, 3:40:58 PM,0.00
5/24/2025, 3:41:03 PM,0.00
5/24/2025, 3:41:08 PM,0.00
5/24/2025, 3:41:13 PM,0.00
5/24/2025, 3:41:18 PM,0.00
5/24/2025, 3:41:23 PM,0.00
5/24/2025, 3:41:28 PM,0.00
5/24/2025, 3:41:34 PM,0.00
5/24/2025, 3:41:39 PM,0.00
5/24/2025, 3:41:44 PM,0.00
5/24/2025, 3:41:49 PM,0.00
5/24/2025, 3:41:54 PM,0.00
5/24/2025, 3:42:00 PM,0.00
5/24/2025, 3:42:05 PM,0.00
5/24/2025, 3:42:10 PM,0.00
5/24/2025, 3:42:15 PM,0.00
5/24/2025, 3:42:23 PM,0.00
5/24/2025, 3:42:28 PM,0.00
5/24/2025, 3:42:33 PM,0.00
5/24/2025, 3:42:38 PM,0.00
5/24/2025, 3:42:43 PM,0.00
5/24/2025, 3:42:49 PM,0.00
5/24/2025, 3:42:54 PM,0.00
5/24/2025, 3:42:59 PM,0.00
5/24/2025, 3:43:04 PM,0.00
5/24/2025, 3:43:09 PM,0.00
5/24/2025, 3:43:14 PM,0.00
5/24/2025, 3:43:19 PM,0.00
5/24/2025, 3:43:25 PM,0.00
5/24/2025, 3:43:30 PM,0.00
5/24/2025, 3:43:35 PM,0.00
5/24/2025, 3:43:40 PM,0.00
5/24/2025, 3:43:45 PM,0.00
5/24/2025, 3:43:50 PM,0.00
5/24/2025, 3:43:56 PM,0.00
5/24/2025, 3:44:01 PM,0.00
5/24/2025, 3:44:06 PM,0.00
5/24/2025, 3:44:11 PM,0.00
5/24/2025, 3:44:16 PM,0.00
5/24/2025, 3:44:22 PM,0.00
5/24/2025, 3:44:28 PM,0.00
5/24/2025, 3:44:33 PM,0.00
5/24/2025, 3:44:38 PM,0.00
5/24/2025, 3:44:43 PM,0.00
5/24/2025, 3:44:48 PM,0.00
5/24/2025, 3:44:53 PM,0.00
5/24/2025, 3:44:59 PM,0.00
5/24/2025, 3:45:04 PM,0.00
5/24/2025, 3:45:09 PM,0.00
5/24/2025, 3:45:14 PM,0.00
5/24/2025, 3:45:19 PM,0.00
5/24/2025, 3:45:25 PM,0.00
5/24/2025, 3:45:30 PM,0.00
5/24/2025, 3:45:35 PM,0.00
5/24/2025, 3:45:40 PM,0.00
5/24/2025, 3:45:45 PM,0.00
5/24/2025, 3:45:51 PM,0.00
5/24/2025, 3:45:56 PM,0.00
5/24/2025, 3:46:01 PM,0.00
5/24/2025, 3:46:06 PM,0.00
5/24/2025, 3:46:11 PM,0.00
5/24/2025, 3:46:16 PM,0.00
5/24/2025, 3:46:21 PM,0.00
5/24/2025, 3:46:27 PM,0.00
5/24/2025, 3:46:32 PM,0.00
5/24/2025, 3:46:37 PM,0.00
5/24/2025, 3:46:42 PM,0.00
5/24/2025, 3:46:47 PM,0.00
5/24/2025, 3:46:52 PM,0.00
5/24/2025, 3:46:57 PM,0.00
5/24/2025, 3:47:02 PM,0.00
5/24/2025, 3:47:08 PM,0.00
5/24/2025, 3:47:13 PM,0.00
5/24/2025, 3:47:19 PM,0.00
5/24/2025, 3:47:24 PM,0.00
5/24/2025, 3:47:29 PM,0.00
5/24/2025, 3:47:34 PM,0.00
5/24/2025, 3:47:39 PM,0.00
5/24/2025, 3:47:44 PM,0.00
5/24/2025, 3:47:49 PM,0.00
5/24/2025, 3:47:55 PM,0.00
5/24/2025, 3:48:00 PM,0.00
5/24/2025, 3:48:06 PM,0.00
5/24/2025, 3:48:11 PM,0.00
5/24/2025, 3:48:16 PM,0.00
5/24/2025, 3:48:21 PM,0.00
5/24/2025, 3:48:26 PM,0.00
5/24/2025, 3:48:31 PM,0.00
5/24/2025, 3:48:36 PM,0.00
5/24/2025, 3:48:42 PM,0.00
5/24/2025, 3:48:47 PM,0.00
5/24/2025, 3:48:52 PM,0.00
5/24/2025, 3:48:57 PM,0.00
5/24/2025, 3:49:02 PM,0.00
5/24/2025, 3:49:07 PM,0.00
5/24/2025, 3:49:12 PM,0.00
5/24/2025, 3:49:17 PM,0.00
5/24/2025, 3:49:23 PM,0.00
5/24/2025, 3:49:28 PM,0.00
5/24/2025, 3:49:33 PM,0.00
5/24/2025, 3:49:38 PM,0.00
5/24/2025, 3:49:43 PM,0.00
5/24/2025, 3:49:48 PM,0.00
5/24/2025, 3:49:53 PM,0.00
5/24/2025, 3:49:59 PM,0.00
5/24/2025, 3:50:04 PM,0.00
5/24/2025, 3:50:09 PM,0.00
5/24/2025, 3:50:14 PM,0.00
5/24/2025, 3:50:19 PM,0.00
5/24/2025, 3:50:24 PM,0.00
5/24/2025, 3:50:29 PM,0.00
5/24/2025, 3:50:35 PM,0.00
5/24/2025, 3:50:40 PM,0.00
5/24/2025, 3:50:45 PM,0.00
5/24/2025, 3:50:50 PM,0.00
5/24/2025, 3:50:55 PM,0.00
5/24/2025, 3:51:00 PM,0.00
5/24/2025, 3:51:05 PM,0.00
5/24/2025, 3:51:11 PM,0.00
5/24/2025, 3:51:16 PM,0.00
5/24/2025, 3:51:21 PM,0.00
5/24/2025, 3:51:26 PM,0.00
5/24/2025, 3:51:31 PM,0.00
5/24/2025, 3:51:36 PM,0.00
5/24/2025, 3:51:42 PM,0.00
5/24/2025, 3:51:47 PM,0.00
5/24/2025, 3:51:52 PM,0.00
5/24/2025, 3:51:57 PM,0.00
5/24/2025, 3:52:02 PM,0.00
5/24/2025, 3:52:07 PM,0.00
5/24/2025, 3:52:12 PM,0.00
5/24/2025, 3:52:18 PM,0.00
5/24/2025, 3:52:23 PM,0.00
5/24/2025, 3:52:28 PM,0.00
5/24/2025, 3:52:33 PM,0.00
5/24/2025, 3:52:38 PM,0.00
5/24/2025, 3:52:43 PM,0.00
5/24/2025, 3:52:49 PM,0.00
5/24/2025, 3:52:54 PM,0.00
5/24/2025, 3:52:59 PM,0.00
5/24/2025, 3:53:05 PM,0.00
5/24/2025, 3:53:10 PM,0.00
5/24/2025, 3:53:15 PM,0.00
5/24/2025, 3:53:20 PM,0.00
5/24/2025, 3:53:25 PM,0.00
5/24/2025, 3:53:30 PM,0.00
5/24/2025, 3:53:35 PM,0.00
5/24/2025, 3:53:41 PM,0.00
5/24/2025, 3:53:46 PM,0.00
5/24/2025, 3:53:51 PM,0.00
5/24/2025, 3:53:56 PM,0.00
5/24/2025, 3:54:01 PM,0.00
5/24/2025, 3:54:06 PM,0.00
5/24/2025, 3:54:12 PM,0.00
5/24/2025, 3:54:17 PM,0.00
5/24/2025, 3:54:22 PM,0.00
5/24/2025, 3:54:27 PM,0.00
5/24/2025, 3:54:32 PM,0.00
5/24/2025, 3:54:37 PM,0.00
5/24/2025, 3:54:42 PM,0.00
5/24/2025, 3:54:47 PM,0.00
5/24/2025, 3:54:53 PM,0.00
5/24/2025, 3:54:58 PM,0.00
5/24/2025, 3:55:03 PM,0.00
5/24/2025, 3:55:08 PM,0.00
5/24/2025, 3:55:13 PM,0.00
5/24/2025, 3:55:18 PM,0.00
5/24/2025, 3:55:24 PM,0.00
5/24/2025, 3:55:29 PM,0.00
5/24/2025, 3:55:34 PM,0.00
5/24/2025, 3:55:39 PM,0.00
5/24/2025, 3:55:44 PM,0.00
5/24/2025, 3:55:49 PM,0.00
5/24/2025, 3:55:54 PM,0.00
5/24/2025, 3:55:59 PM,0.00
5/24/2025, 3:56:05 PM,0.00
5/24/2025, 3:56:10 PM,0.00
5/24/2025, 3:56:15 PM,0.00
5/24/2025, 3:56:20 PM,0.00
5/24/2025, 3:56:25 PM,0.00
5/24/2025, 3:56:30 PM,0.00
5/24/2025, 3:56:35 PM,0.00
5/24/2025, 3:56:41 PM,0.00
5/24/2025, 3:56:46 PM,0.00
5/24/2025, 3:56:51 PM,0.00
5/24/2025, 3:56:56 PM,0.00
5/24/2025, 3:57:01 PM,0.00
5/24/2025, 3:57:06 PM,0.00
5/24/2025, 3:57:11 PM,0.00
5/24/2025, 3:57:16 PM,0.00
5/24/2025, 3:57:22 PM,0.00
5/24/2025, 3:57:27 PM,0.00
5/24/2025, 3:57:32 PM,0.00
5/24/2025, 3:57:37 PM,0.00
5/24/2025, 3:57:43 PM,0.00
5/24/2025, 3:57:48 PM,0.00
5/24/2025, 3:57:53 PM,0.00
5/24/2025, 3:57:58 PM,0.00
5/24/2025, 3:58:03 PM,0.00
5/24/2025, 3:58:08 PM,0.00
5/24/2025, 3:58:13 PM,0.00
5/24/2025, 3:58:19 PM,0.00
5/24/2025, 3:58:24 PM,0.00
5/24/2025, 3:58:29 PM,0.00
5/24/2025, 3:58:34 PM,0.00
5/24/2025, 3:58:39 PM,0.00
5/24/2025, 3:58:44 PM,0.00
5/24/2025, 3:58:50 PM,0.00
5/24/2025, 3:58:55 PM,0.00
5/24/2025, 3:59:00 PM,0.00
5/24/2025, 3:59:05 PM,0.00
5/24/2025, 3:59:10 PM,0.00
5/24/2025, 3:59:16 PM,0.00
5/24/2025, 3:59:21 PM,0.00
5/24/2025, 3:59:26 PM,0.00
5/24/2025, 3:59:31 PM,0.00
5/24/2025, 3:59:36 PM,0.00
5/24/2025, 3:59:41 PM,0.00
5/24/2025, 3:59:46 PM,0.00
5/24/2025, 3:59:51 PM,0.00
5/24/2025, 3:59:57 PM,0.00
5/24/2025, 4:00:02 PM,0.00
5/24/2025, 4:00:07 PM,0.00
5/24/2025, 4:00:12 PM,0.00
5/24/2025, 4:00:17 PM,0.00
5/24/2025, 4:00:22 PM,0.00
5/24/2025, 4:00:28 PM,0.00
5/24/2025, 4:00:33 PM,0.00
5/24/2025, 4:00:38 PM,0.00
5/24/2025, 4:00:43 PM,0.00
5/24/2025, 4:00:48 PM,0.00
5/24/2025, 4:00:53 PM,0.00
5/24/2025, 4:00:58 PM,0.00
5/24/2025, 4:01:04 PM,0.00
5/24/2025, 4:01:09 PM,0.00
5/24/2025, 4:01:14 PM,0.00
5/24/2025, 4:01:19 PM,0.00
5/24/2025, 4:01:24 PM,0.00
5/24/2025, 4:01:29 PM,0.00
5/24/2025, 4:01:34 PM,0.00
5/24/2025, 4:01:39 PM,0.00
5/24/2025, 4:01:44 PM,0.00
5/24/2025, 4:01:50 PM,0.00
5/24/2025, 4:01:55 PM,0.00
5/24/2025, 4:02:00 PM,0.00
5/24/2025, 4:02:05 PM,0.00
5/24/2025, 4:02:10 PM,0.00
5/24/2025, 4:02:15 PM,0.00
5/24/2025, 4:02:20 PM,0.00
5/24/2025, 4:02:26 PM,0.00
5/24/2025, 4:02:31 PM,0.00
5/24/2025, 4:02:36 PM,0.00
5/24/2025, 4:02:41 PM,0.00
5/24/2025, 4:02:46 PM,0.00
5/24/2025, 4:02:51 PM,0.00
5/24/2025, 4:02:57 PM,0.00
5/24/2025, 4:03:02 PM,0.00
5/24/2025, 4:03:07 PM,0.00
5/24/2025, 4:03:12 PM,0.00
5/24/2025, 4:03:17 PM,0.00
5/24/2025, 4:03:22 PM,0.00
5/24/2025, 4:03:27 PM,0.00
5/24/2025, 4:03:32 PM,0.00
5/24/2025, 4:03:38 PM,0.00
5/24/2025, 4:03:43 PM,0.00
5/24/2025, 4:03:48 PM,0.00
5/24/2025, 4:03:53 PM,0.00
5/24/2025, 4:03:58 PM,0.00
5/24/2025, 4:04:03 PM,0.00
5/24/2025, 4:04:08 PM,0.00
5/24/2025, 4:04:13 PM,0.00
5/24/2025, 4:04:19 PM,0.00
5/24/2025, 4:04:24 PM,0.00
5/24/2025, 4:04:29 PM,0.00
5/24/2025, 4:04:34 PM,0.00
5/24/2025, 4:04:39 PM,0.00
5/24/2025, 4:04:44 PM,0.00
5/24/2025, 4:04:49 PM,0.00
5/24/2025, 4:04:55 PM,0.00
5/24/2025, 4:05:00 PM,0.00
5/24/2025, 4:05:05 PM,0.00
5/24/2025, 4:05:10 PM,0.00
5/24/2025, 4:05:15 PM,0.00
5/24/2025, 4:05:20 PM,0.00
5/24/2025, 4:05:26 PM,0.00
5/24/2025, 4:05:31 PM,0.00
5/24/2025, 4:05:36 PM,0.00
5/24/2025, 4:05:41 PM,0.00
5/24/2025, 4:05:46 PM,0.00
5/24/2025, 4:05:51 PM,0.00
5/24/2025, 4:05:56 PM,0.00
5/24/2025, 4:06:02 PM,0.00
5/24/2025, 4:06:07 PM,0.00
5/24/2025, 4:06:12 PM,0.00
5/24/2025, 4:06:17 PM,0.00
5/24/2025, 4:06:22 PM,0.00
5/24/2025, 4:06:27 PM,0.00
5/24/2025, 4:06:33 PM,0.00
5/24/2025, 4:06:38 PM,0.00
5/24/2025, 4:06:43 PM,0.00
5/24/2025, 4:06:48 PM,0.00
5/24/2025, 4:06:53 PM,0.00
5/24/2025, 4:06:58 PM,0.00
5/24/2025, 4:07:04 PM,0.00
5/24/2025, 4:07:09 PM,0.00
5/24/2025, 4:07:14 PM,0.00
5/24/2025, 4:07:19 PM,0.00
5/24/2025, 4:07:24 PM,0.00
5/24/2025, 4:07:29 PM,0.00
5/24/2025, 4:07:35 PM,0.00
5/24/2025, 4:07:40 PM,0.00
5/24/2025, 4:07:45 PM,0.00
5/24/2025, 4:07:50 PM,0.00
5/24/2025, 4:07:55 PM,0.00
5/24/2025, 4:08:00 PM,0.00
5/24/2025, 4:08:06 PM,0.00
5/24/2025, 4:08:11 PM,0.00
5/24/2025, 4:08:16 PM,0.00
5/24/2025, 4:08:21 PM,0.00
5/24/2025, 4:08:26 PM,0.00
5/24/2025, 4:08:31 PM,0.00
5/24/2025, 4:08:36 PM,0.00
5/24/2025, 4:08:42 PM,0.00
5/24/2025, 4:08:47 PM,0.00
5/24/2025, 4:08:52 PM,0.00
5/24/2025, 4:08:57 PM,0.00
5/24/2025, 4:09:02 PM,0.00
5/24/2025, 4:09:07 PM,0.00
5/24/2025, 4:09:12 PM,0.00
5/24/2025, 4:09:18 PM,0.00
5/24/2025, 4:09:23 PM,0.00
5/24/2025, 4:09:28 PM,0.00
5/24/2025, 4:09:33 PM,0.00
5/24/2025, 4:09:38 PM,0.00
5/24/2025, 4:09:43 PM,0.00
5/24/2025, 4:09:48 PM,0.00
5/24/2025, 4:09:54 PM,0.00
5/24/2025, 4:09:59 PM,0.00
5/24/2025, 4:10:04 PM,0.00
5/24/2025, 4:10:09 PM,0.00
5/24/2025, 4:10:14 PM,0.00
5/24/2025, 4:10:19 PM,0.00
5/24/2025, 4:10:25 PM,0.00
5/24/2025, 4:10:30 PM,0.00
5/24/2025, 4:10:35 PM,0.00
5/24/2025, 4:10:40 PM,0.00
5/24/2025, 4:10:45 PM,0.00
5/24/2025, 4:10:50 PM,0.00
5/24/2025, 4:10:55 PM,0.00
5/24/2025, 4:11:00 PM,0.00
5/24/2025, 4:11:05 PM,0.00
5/24/2025, 4:11:11 PM,0.00
5/24/2025, 4:11:16 PM,0.00
5/24/2025, 4:11:21 PM,0.00
5/24/2025, 4:11:26 PM,0.00
5/24/2025, 4:11:31 PM,0.00
5/24/2025, 4:11:37 PM,0.00
5/24/2025, 4:11:42 PM,0.00
5/24/2025, 4:11:47 PM,0.00
5/24/2025, 4:11:52 PM,0.00
5/24/2025, 4:11:57 PM,0.00
5/24/2025, 4:12:02 PM,0.00
5/24/2025, 4:12:07 PM,0.00
5/24/2025, 4:12:13 PM,0.00
5/24/2025, 4:12:18 PM,0.00
5/24/2025, 4:12:23 PM,0.00
5/24/2025, 4:12:28 PM,0.00
5/24/2025, 4:12:33 PM,0.00
5/24/2025, 4:12:39 PM,0.00
5/24/2025, 4:12:44 PM,0.00
5/24/2025, 4:12:49 PM,0.00
5/24/2025, 4:12:54 PM,0.00
5/24/2025, 4:12:59 PM,0.00
5/24/2025, 4:13:04 PM,0.00
5/24/2025, 4:13:10 PM,0.00
5/24/2025, 4:13:15 PM,0.00
5/24/2025, 4:13:20 PM,0.00
5/24/2025, 4:13:25 PM,0.00
5/24/2025, 4:13:30 PM,0.00
5/24/2025, 4:13:35 PM,0.00
5/24/2025, 4:13:40 PM,0.00
5/24/2025, 4:13:45 PM,0.00
5/24/2025, 4:13:51 PM,0.00
5/24/2025, 4:13:56 PM,0.00
5/24/2025, 4:14:01 PM,0.00
5/24/2025, 4:14:06 PM,0.00
5/24/2025, 4:14:11 PM,0.00
5/24/2025, 4:14:16 PM,0.00
5/24/2025, 4:14:21 PM,0.00
5/24/2025, 4:14:27 PM,0.00
5/24/2025, 4:14:32 PM,0.00
5/24/2025, 4:14:37 PM,234.00
5/24/2025, 4:14:42 PM,300.00
5/24/2025, 4:14:47 PM,302.00
5/24/2025, 4:14:52 PM,300.00
5/24/2025, 4:14:58 PM,303.00
5/24/2025, 4:15:03 PM,300.00
5/24/2025, 4:15:08 PM,247.00
5/24/2025, 4:15:13 PM,247.00
5/24/2025, 4:15:18 PM,304.00
5/24/2025, 4:15:23 PM,289.00
5/24/2025, 4:15:28 PM,267.00
5/24/2025, 4:15:34 PM,256.00
5/24/2025, 4:15:39 PM,269.00
5/24/2025, 4:15:44 PM,254.00
5/24/2025, 4:15:49 PM,269.00
5/24/2025, 4:15:54 PM,272.00
5/24/2025, 4:15:59 PM,272.00
5/24/2025, 4:16:05 PM,271.00
5/24/2025, 4:16:10 PM,272.00
5/24/2025, 4:16:15 PM,276.00
5/24/2025, 4:16:20 PM,310.00
5/24/2025, 4:16:25 PM,311.00
5/24/2025, 4:16:30 PM,311.00
5/24/2025, 4:16:36 PM,311.00
5/24/2025, 4:16:41 PM,260.00
5/24/2025, 4:16:46 PM,315.00
5/24/2025, 4:16:51 PM,307.00
5/24/2025, 4:16:56 PM,309.00
5/24/2025, 4:17:01 PM,307.00
5/24/2025, 4:17:06 PM,220.00
5/24/2025, 4:17:12 PM,240.00
5/24/2025, 4:17:17 PM,273.00
5/24/2025, 4:17:22 PM,290.00
5/24/2025, 4:17:27 PM,293.00
5/24/2025, 4:17:32 PM,245.00
5/24/2025, 4:17:37 PM,268.00
5/24/2025, 4:17:43 PM,287.00
5/24/2025, 4:17:48 PM,286.00
5/24/2025, 4:17:53 PM,282.00
5/24/2025, 4:17:58 PM,288.00
5/24/2025, 4:18:03 PM,285.00
5/24/2025, 4:18:09 PM,259.00
5/24/2025, 4:18:14 PM,262.00
5/24/2025, 4:18:19 PM,276.00
5/24/2025, 4:18:24 PM,273.00
5/24/2025, 4:18:29 PM,272.00
5/24/2025, 4:18:34 PM,272.00
5/24/2025, 4:18:39 PM,253.00
5/24/2025, 4:18:45 PM,269.00
5/24/2025, 4:18:50 PM,267.00
5/24/2025, 4:18:55 PM,265.00
5/24/2025, 4:19:00 PM,252.00
5/24/2025, 4:19:05 PM,265.00
5/24/2025, 4:19:10 PM,257.00
5/24/2025, 4:19:15 PM,257.00
5/24/2025, 4:19:21 PM,258.00
5/24/2025, 4:19:26 PM,256.00
5/24/2025, 4:19:31 PM,259.00
5/24/2025, 4:19:36 PM,256.00
5/24/2025, 4:19:41 PM,258.00
5/24/2025, 4:19:46 PM,251.00
5/24/2025, 4:19:51 PM,251.00
5/24/2025, 4:19:57 PM,240.00
5/24/2025, 4:20:02 PM,250.00
5/24/2025, 4:20:07 PM,244.00
5/24/2025, 4:20:12 PM,247.00
5/24/2025, 4:20:17 PM,245.00
5/24/2025, 4:20:22 PM,242.00
5/24/2025, 4:20:27 PM,243.00
5/24/2025, 4:20:33 PM,243.00
5/24/2025, 4:20:38 PM,240.00
5/24/2025, 4:20:43 PM,240.00
5/24/2025, 4:20:48 PM,237.00
5/24/2025, 4:20:53 PM,235.00
5/24/2025, 4:20:58 PM,233.00
5/24/2025, 4:21:03 PM,229.00
5/24/2025, 4:21:09 PM,225.00
5/24/2025, 4:21:14 PM,209.00
5/24/2025, 4:21:19 PM,217.00
5/24/2025, 4:21:24 PM,213.00
5/24/2025, 4:21:29 PM,208.00
5/24/2025, 4:21:34 PM,208.00
5/24/2025, 4:21:40 PM,199.00
5/24/2025, 4:21:45 PM,200.00
5/24/2025, 4:21:50 PM,194.00
5/24/2025, 4:21:55 PM,193.00
5/24/2025, 4:22:00 PM,193.00
5/24/2025, 4:22:06 PM,183.00
5/24/2025, 4:22:11 PM,192.00
5/24/2025, 4:22:16 PM,192.00
5/24/2025, 4:22:21 PM,192.00
5/24/2025, 4:22:26 PM,190.00
5/24/2025, 4:22:32 PM,191.00
5/24/2025, 4:22:37 PM,186.00
5/24/2025, 4:22:42 PM,186.00
5/24/2025, 4:22:47 PM,185.00
5/24/2025, 4:22:52 PM,183.00
5/24/2025, 4:22:57 PM,182.00
5/24/2025, 4:23:03 PM,181.00
5/24/2025, 4:23:08 PM,180.00
5/24/2025, 4:23:13 PM,178.00
5/24/2025, 4:23:18 PM,173.00
5/24/2025, 4:23:23 PM,176.00
5/24/2025, 4:23:29 PM,176.00
5/24/2025, 4:23:34 PM,173.00
5/24/2025, 4:23:39 PM,176.00
5/24/2025, 4:23:44 PM,172.00
5/24/2025, 4:23:49 PM,174.00
5/24/2025, 4:23:54 PM,170.00
5/24/2025, 4:24:00 PM,165.00
5/24/2025, 4:24:05 PM,167.00
5/24/2025, 4:24:10 PM,164.00
5/24/2025, 4:24:16 PM,163.00
5/24/2025, 4:24:21 PM,162.00
5/24/2025, 4:24:26 PM,163.00
5/24/2025, 4:24:31 PM,163.00
5/24/2025, 4:24:36 PM,160.00
5/24/2025, 4:24:41 PM,160.00
5/24/2025, 4:24:46 PM,157.00
5/24/2025, 4:24:52 PM,160.00
5/24/2025, 4:24:58 PM,155.00
5/24/2025, 4:25:03 PM,155.00
5/24/2025, 4:25:08 PM,154.00
5/24/2025, 4:25:14 PM,155.00
5/24/2025, 4:25:19 PM,149.00
5/24/2025, 4:25:24 PM,151.00
5/24/2025, 4:25:29 PM,151.00
5/24/2025, 4:25:34 PM,149.00
